run,count,p50_ms,p90_ms,p95_ms,p99_ms,min_ms,max_ms,mean_ms
clab_latencies_u10_rep1,128,107.93465049937367,10152.100774087012,10164.95380490087,10215.18027238548,67.43141170591116,10231.927706860006,4012.2883946460206
clab_latencies_u10_rep2,109,117.33100935816763,10152.508793771267,10166.250448860228,10262.761470116675,64.4792364910245,10271.887977607548,4697.451711290541
clab_latencies_u10_rep3,101,208.47393106669188,10153.399227187036,10176.768395118415,10278.84507458657,60.56881695985794,10297.530609183012,5064.477726900121
clab_latencies_u1_rep1,9,10120.353656820953,10172.768795862794,10173.438319936395,10173.973939195275,108.50360244512558,10174.107844009995,5691.24412515925
clab_latencies_u1_rep2,10,5124.823946971445,10165.739592537286,10168.308727163823,10170.364034865053,91.22947789728642,10170.87786179036,5129.968772362918
clab_latencies_u1_rep3,19,102.94743161648512,10145.107321441174,10154.537004511803,10161.490746047348,70.96773944795132,10163.229181431234,2745.086832560207
clab_latencies_u20_rep1,111,9955.311545170844,19986.608734354377,20012.45998777449,20015.122216194868,120.39460241794586,20078.373172320426,8618.63801651844
clab_latencies_u20_rep2,102,9430.149415507913,19269.074441678822,19374.394274456423,19766.478832261637,144.98172979801893,19833.43649096787,9833.572805941323
clab_latencies_u20_rep3,111,7564.847179688513,17421.593544073403,17594.835579395294,19342.74835688994,142.92223379015925,20079.79966979474,9225.986833432438
