scenario,count,p50_ms,p90_ms,p95_ms,p99_ms,min_ms,max_ms,mean_ms
Baseline (u=20),243,10565.303679555656,20010.55939495563,20013.572008162737,20077.203041613102,118.00779588520528,20082.916773855686,12239.020149725577
WAN 30ms+1%loss (u=20),219,13750.199254602194,20111.779449507594,20139.446195028722,20153.8519667089,206.18403516709805,20347.431797534227,13620.483184794653
Steered to Backup (u=20),240,15874.71143528819,20106.538313254714,20129.016979783773,20143.197695259005,199.78314824402327,21108.86048525572,13395.947175698044
