run,count,p50_ms,p90_ms,p95_ms,p99_ms,min_ms,max_ms,mean_ms
latencies_pa4_steered_u10_rep1,102,1378.9615873247385,10221.329426579177,10250.764229521154,11224.049581829451,121.14692479372025,11278.443712741137,5139.965856046069
latencies_pa4_steered_u10_rep2,75,10174.065798521042,10918.336931988604,13164.41775970161,13673.597758561373,131.6179484128952,13687.671953812242,7326.306001519163
latencies_pa4_steered_u10_rep3,83,10119.46969293058,11082.465850561854,15263.422952964898,15669.886480011042,134.03324410319328,16041.7848713696,6650.981815217669
latencies_pa4_steered_u1_rep1,71,922.4505256861448,1199.1264559328556,1233.2800226286054,1502.5556823238724,124.70928207039832,1676.6727101057768,684.3820989236865
latencies_pa4_steered_u1_rep2,70,840.312379412353,1233.9473949745297,1273.1310640461743,1500.6729740090668,140.19755832850933,1543.6949953436852,693.2601675125105
latencies_pa4_steered_u1_rep3,64,993.0243315175176,1446.3428240269425,1518.399825785309,1872.080016899853,134.1155208647251,2069.318337365985,777.8280246420763
latencies_pa4_steered_u20_rep1,92,11580.793074332178,18524.562588520348,20098.04182657972,20157.015519775454,199.78314824402327,20356.0452349484,11632.618911078443
latencies_pa4_steered_u20_rep2,72,18186.731481924653,20130.28260618448,20135.357798822224,20142.779672984034,3301.3816587626934,20143.707159906626,15045.339359643145
latencies_pa4_steered_u20_rep3,76,17576.22398249805,20106.68413899839,20111.53811449185,20362.840745132416,1974.559063091874,21108.86048525572,13967.920374394836
