port no	mac addr		is local?	ageing timer
  2	aa:c1:ab:08:7b:68	no		 175.39
  2	aa:c1:ab:3f:07:a1	no		 175.39
  1	aa:c1:ab:54:15:ac	yes		   0.00
  1	aa:c1:ab:54:15:ac	yes		   0.00
  4	aa:c1:ab:61:c9:c7	yes		   0.00
  4	aa:c1:ab:61:c9:c7	yes		   0.00
  4	aa:c1:ab:72:7f:4b	no		  75.55
  3	aa:c1:ab:8f:0b:63	yes		   0.00
  3	aa:c1:ab:8f:0b:63	yes		   0.00
  2	aa:c1:ab:ab:80:de	no		  72.39
  2	aa:c1:ab:bd:90:ce	yes		   0.00
  2	aa:c1:ab:bd:90:ce	yes		   0.00
  2	aa:c1:ab:d0:bb:d2	no		   1.06
