scenario,count,p50_ms,p90_ms,p95_ms,p99_ms,min_ms,max_ms,mean_ms
Baseline (u=1),311,106.1173602938652,1088.369481265545,1163.2182635366917,1259.2358130961654,61.07947044074536,1667.0885402709246,423.9551731627854
WAN 30ms+1%loss (u=1),226,226.76676232367754,1216.932121664286,1282.6720434240997,1409.8887983709574,128.3050086349249,1914.0026271343231,625.6295328679602
Steered to Backup (u=1),205,922.4505256861448,1243.0181290954351,1424.9619998037813,1673.9303984493024,124.70928207039832,2069.318337365985,716.5869967148798
